allele number population locus proportion
192 0 4 F72 0.000000000
196 86 6 F72 0.927083333
200 2 6 F72 0.062500000
204 2 6 F72 0.000000000
198 3 6 F72 0.000000000
194 1 6 F72 0.010416667
192 2 6 F72 0.000000000
196 92 8 F72 0.273333333
200 7 8 F72 0.700000000
204 0 8 F72 0.020000000
198 1 8 F72 0.006666667
194 0 8 F72 0.000000000
192 0 8 F72 0.000000000
196 46 10 F72 0.640000000
200 2 10 F72 0.300000000
204 0 10 F72 0.000000000
198 0 10 F72 0.060000000
194 0 10 F72 0.000000000
192 0 10 F72 0.000000000
196 97 12 F72 0.895833333
200 3 12 F72 0.020833333
204 0 12 F72 0.020833333
198 0 12 F72 0.031250000
194 0 12 F72 0.010416667
192 0 12 F72 0.020833333
196 89 14 F72 0.920000000
200 6 14 F72 0.070000000
204 0 14 F72 0.000000000
198 0 14 F72 0.010000000
194 1 14 F72 0.000000000
192 0 14 F72 0.000000000
196 2 2 F9 0.000000000
198 98 2 F9 0.145833333
200 3 2 F9 0.000000000
190 10 2 F9 0.020833333
206 27 2 F9 0.020833333
202 3 2 F9 0.000000000
194 3 2 F9 0.062500000
192 2 2 F9 0.687500000
204 1 2 F9 0.000000000
219 1 2 F9 0.000000000
188 0 2 F9 0.020833333
184 0 2 F9 0.041666667
213 0 2 F9 0.000000000
221 0 2 F9 0.000000000
186 0 2 F9 0.000000000
182 0 2 F9 0.000000000
196 19 4 F9 0.020000000
198 32 4 F9 0.030000000
200 14 4 F9 0.370000000
190 1 4 F9 0.000000000
206 0 4 F9 0.000000000
202 8 4 F9 0.030000000
194 16 4 F9 0.430000000
192 17 4 F9 0.030000000
204 2 4 F9 0.000000000
219 1 4 F9 0.000000000
188 6 4 F9 0.000000000
184 32 4 F9 0.080000000
213 1 4 F9 0.000000000
221 1 4 F9 0.000000000
186 0 4 F9 0.010000000
182 0 4 F9 0.000000000
196 8 6 F9 0.020833333
198 21 6 F9 0.031250000
200 17 6 F9 0.354166667
190 1 6 F9 0.000000000
206 1 6 F9 0.010416667
202 2 6 F9 0.000000000
194 17 6 F9 0.250000000
192 7 6 F9 0.062500000
204 1 6 F9 0.000000000
219 0 6 F9 0.000000000
188 2 6 F9 0.000000000
184 17 6 F9 0.270833333
213 1 6 F9 0.000000000
221 0 6 F9 0.000000000
186 1 6 F9 0.000000000
182 0 6 F9 0.000000000
196 4 8 F9 0.013333333
198 6 8 F9 0.653333333
200 3 8 F9 0.020000000
190 1 8 F9 0.066666667
206 2 8 F9 0.180000000
202 1 8 F9 0.020000000
194 6 8 F9 0.020000000
192 71 8 F9 0.013333333
204 1 8 F9 0.006666667
219 0 8 F9 0.006666667
188 0 8 F9 0.000000000
184 4 8 F9 0.000000000
213 0 8 F9 0.000000000
221 0 8 F9 0.000000000
186 0 8 F9 0.000000000
182 1 8 F9 0.000000000
196 0 10 F9 0.126666667
198 7 10 F9 0.213333333
200 0 10 F9 0.093333333
190 1 10 F9 0.006666667
206 1 10 F9 0.000000000
202 0 10 F9 0.053333333
194 3 10 F9 0.106666667
192 33 10 F9 0.113333333
204 0 10 F9 0.013333333
219 0 10 F9 0.006666667
188 1 10 F9 0.040000000
184 2 10 F9 0.213333333
213 0 10 F9 0.006666667
221 0 10 F9 0.006666667
186 0 10 F9 0.000000000
182 0 10 F9 0.000000000
196 2 12 F9 0.083333333
198 3 12 F9 0.218750000
200 37 12 F9 0.177083333
190 0 12 F9 0.010416667
206 0 12 F9 0.010416667
202 3 12 F9 0.020833333
194 43 12 F9 0.177083333
192 3 12 F9 0.072916667
204 0 12 F9 0.010416667
219 0 12 F9 0.000000000
188 0 12 F9 0.020833333
184 8 12 F9 0.177083333
213 0 12 F9 0.010416667
221 0 12 F9 0.000000000
186 1 12 F9 0.010416667
182 0 12 F9 0.000000000
196 2 14 F9 0.040000000
198 3 14 F9 0.060000000
200 34 14 F9 0.030000000
190 0 14 F9 0.010000000
206 1 14 F9 0.020000000
202 0 14 F9 0.010000000
194 24 14 F9 0.060000000
192 6 14 F9 0.710000000
204 0 14 F9 0.010000000
219 0 14 F9 0.000000000
188 0 14 F9 0.000000000
184 26 14 F9 0.040000000
213 0 14 F9 0.000000000
221 0 14 F9 0.000000000
186 0 14 F9 0.000000000
182 0 14 F9 0.010000000
214 86 2 L38 0.229166667
232 50 2 L38 0.000000000
229 1 2 L38 0.020833333
226 4 2 L38 0.000000000
220 1 2 L38 0.645833333
235 5 2 L38 0.020833333
223 1 2 L38 0.062500000
217 1 2 L38 0.000000000
238 1 2 L38 0.000000000
241 0 2 L38 0.000000000
208 0 2 L38 0.000000000
247 0 2 L38 0.000000000
205 0 2 L38 0.020833333
211 0 2 L38 0.000000000
214 34 4 L38 0.410000000
232 18 4 L38 0.020000000
229 13 4 L38 0.230000000
226 30 4 L38 0.310000000
220 14 4 L38 0.000000000
235 0 4 L38 0.010000000
223 17 4 L38 0.010000000
217 10 4 L38 0.000000000
238 7 4 L38 0.000000000
241 4 4 L38 0.000000000
208 1 4 L38 0.000000000
247 1 4 L38 0.000000000
205 1 4 L38 0.010000000
211 0 4 L38 0.000000000
214 19 6 L38 0.437500000
232 11 6 L38 0.062500000
229 6 6 L38 0.250000000
226 15 6 L38 0.197916667
220 6 6 L38 0.010416667
235 4 6 L38 0.020833333
223 14 6 L38 0.000000000
217 19 6 L38 0.020833333
238 0 6 L38 0.000000000
241 1 6 L38 0.000000000
208 0 6 L38 0.000000000
247 0 6 L38 0.000000000
205 0 6 L38 0.000000000
211 1 6 L38 0.000000000
214 83 8 L38 0.573333333
232 0 8 L38 0.333333333
229 2 8 L38 0.006666667
226 2 8 L38 0.026666667
220 12 8 L38 0.006666667
235 0 8 L38 0.033333333
223 1 8 L38 0.006666667
217 0 8 L38 0.006666667
238 0 8 L38 0.006666667
241 0 8 L38 0.000000000
208 0 8 L38 0.000000000
247 0 8 L38 0.000000000
205 0 8 L38 0.000000000
211 0 8 L38 0.000000000
214 11 10 L38 0.226666667
232 0 10 L38 0.120000000
229 1 10 L38 0.086666667
226 0 10 L38 0.200000000
220 31 10 L38 0.093333333
235 1 10 L38 0.000000000
223 3 10 L38 0.113333333
217 0 10 L38 0.066666667
238 0 10 L38 0.046666667
241 0 10 L38 0.026666667
208 0 10 L38 0.006666667
247 0 10 L38 0.006666667
205 1 10 L38 0.006666667
211 0 10 L38 0.000000000
214 41 12 L38 0.197916667
232 2 12 L38 0.114583333
229 23 12 L38 0.062500000
226 31 12 L38 0.156250000
220 0 12 L38 0.062500000
235 1 12 L38 0.041666667
223 1 12 L38 0.145833333
217 0 12 L38 0.197916667
238 0 12 L38 0.000000000
241 0 12 L38 0.010416667
208 0 12 L38 0.000000000
247 0 12 L38 0.000000000
205 1 12 L38 0.000000000
211 0 12 L38 0.010416667
214 42 14 L38 0.830000000
232 6 14 L38 0.000000000
229 24 14 L38 0.020000000
226 19 14 L38 0.020000000
220 1 14 L38 0.120000000
235 2 14 L38 0.000000000
223 0 14 L38 0.010000000
217 2 14 L38 0.000000000
238 0 14 L38 0.000000000
241 0 14 L38 0.000000000
208 0 14 L38 0.000000000
247 0 14 L38 0.000000000
205 0 14 L38 0.000000000
211 0 14 L38 0.000000000
140 1 2 L58 0.000000000
144 5 2 L58 0.083333333
146 42 2 L58 0.187500000
148 23 2 L58 0.041666667
136 45 2 L58 0.020833333
132 9 2 L58 0.000000000
130 6 2 L58 0.000000000
134 9 2 L58 0.020833333
150 3 2 L58 0.062500000
142 2 2 L58 0.000000000
152 2 2 L58 0.041666667
164 2 2 L58 0.375000000
138 1 2 L58 0.020833333
126 0 2 L58 0.020833333
156 0 2 L58 0.000000000
158 0 2 L58 0.000000000
154 0 2 L58 0.000000000
124 0 2 L58 0.000000000
182 0 2 L58 0.020833333
192 0 2 L58 0.000000000
160 0 2 L58 0.000000000
162 0 2 L58 0.000000000
176 0 2 L58 0.000000000
180 0 2 L58 0.041666667
170 0 2 L58 0.000000000
188 0 2 L58 0.000000000
168 0 2 L58 0.020833333
194 0 2 L58 0.000000000
184 0 2 L58 0.000000000
186 0 2 L58 0.000000000
128 0 2 L58 0.020833333
172 0 2 L58 0.000000000
166 0 2 L58 0.020833333
140 4 4 L58 0.010000000
144 6 4 L58 0.310000000
146 2 4 L58 0.130000000
148 6 4 L58 0.080000000
136 3 4 L58 0.000000000
132 11 4 L58 0.020000000
130 4 4 L58 0.010000000
134 10 4 L58 0.000000000
150 4 4 L58 0.060000000
142 5 4 L58 0.210000000
152 4 4 L58 0.000000000
164 2 4 L58 0.020000000
138 4 4 L58 0.000000000
126 25 4 L58 0.000000000
156 9 4 L58 0.000000000
158 6 4 L58 0.010000000
154 14 4 L58 0.060000000
124 1 4 L58 0.000000000
182 1 4 L58 0.000000000
192 6 4 L58 0.000000000
160 6 4 L58 0.000000000
162 1 4 L58 0.000000000
176 1 4 L58 0.000000000
180 2 4 L58 0.000000000
170 1 4 L58 0.000000000
188 1 4 L58 0.000000000
168 6 4 L58 0.000000000
194 1 4 L58 0.000000000
184 1 4 L58 0.000000000
186 1 4 L58 0.000000000
128 2 4 L58 0.060000000
172 0 4 L58 0.000000000
166 0 4 L58 0.020000000
140 4 6 L58 0.031250000
144 0 6 L58 0.260416667
146 8 6 L58 0.197916667
148 5 6 L58 0.041666667
136 6 6 L58 0.010416667
132 3 6 L58 0.083333333
130 4 6 L58 0.000000000
134 8 6 L58 0.000000000
150 5 6 L58 0.072916667
142 5 6 L58 0.104166667
152 9 6 L58 0.000000000
164 0 6 L58 0.052083333
138 5 6 L58 0.000000000
126 5 6 L58 0.000000000
156 6 6 L58 0.010416667
158 5 6 L58 0.010416667
154 6 6 L58 0.010416667
124 0 6 L58 0.000000000
182 0 6 L58 0.000000000
192 2 6 L58 0.000000000
160 1 6 L58 0.000000000
162 1 6 L58 0.000000000
176 1 6 L58 0.000000000
180 0 6 L58 0.000000000
170 0 6 L58 0.000000000
188 0 6 L58 0.000000000
168 4 6 L58 0.000000000
194 0 6 L58 0.000000000
184 0 6 L58 0.000000000
186 0 6 L58 0.000000000
128 1 6 L58 0.062500000
172 1 6 L58 0.000000000
166 1 6 L58 0.052083333
140 0 8 L58 0.006666667
144 1 8 L58 0.033333333
146 30 8 L58 0.280000000
148 35 8 L58 0.153333333
136 3 8 L58 0.300000000
132 1 8 L58 0.060000000
130 1 8 L58 0.040000000
134 5 8 L58 0.060000000
150 17 8 L58 0.020000000
142 2 8 L58 0.013333333
152 0 8 L58 0.013333333
164 0 8 L58 0.013333333
138 0 8 L58 0.006666667
126 1 8 L58 0.000000000
156 1 8 L58 0.000000000
158 1 8 L58 0.000000000
154 0 8 L58 0.000000000
124 0 8 L58 0.000000000
182 0 8 L58 0.000000000
192 0 8 L58 0.000000000
160 0 8 L58 0.000000000
162 1 8 L58 0.000000000
176 0 8 L58 0.000000000
180 0 8 L58 0.000000000
170 0 8 L58 0.000000000
188 0 8 L58 0.000000000
168 0 8 L58 0.000000000
194 0 8 L58 0.000000000
184 0 8 L58 0.000000000
186 0 8 L58 0.000000000
128 0 8 L58 0.000000000
172 0 8 L58 0.000000000
166 1 8 L58 0.000000000
140 0 10 L58 0.026666667
144 4 10 L58 0.040000000
146 9 10 L58 0.013333333
148 2 10 L58 0.040000000
136 1 10 L58 0.020000000
132 0 10 L58 0.073333333
130 0 10 L58 0.026666667
134 1 10 L58 0.066666667
150 3 10 L58 0.026666667
142 0 10 L58 0.033333333
152 2 10 L58 0.026666667
164 18 10 L58 0.013333333
138 1 10 L58 0.026666667
126 1 10 L58 0.166666667
156 0 10 L58 0.060000000
158 0 10 L58 0.040000000
154 0 10 L58 0.093333333
124 0 10 L58 0.006666667
182 1 10 L58 0.006666667
192 0 10 L58 0.040000000
160 0 10 L58 0.040000000
162 0 10 L58 0.006666667
176 0 10 L58 0.006666667
180 2 10 L58 0.013333333
170 0 10 L58 0.006666667
188 0 10 L58 0.006666667
168 1 10 L58 0.040000000
194 0 10 L58 0.006666667
184 0 10 L58 0.006666667
186 0 10 L58 0.006666667
128 1 10 L58 0.013333333
172 0 10 L58 0.000000000
166 1 10 L58 0.000000000
140 1 12 L58 0.041666667
144 31 12 L58 0.000000000
146 13 12 L58 0.083333333
148 8 12 L58 0.052083333
136 0 12 L58 0.062500000
132 2 12 L58 0.031250000
130 1 12 L58 0.041666667
134 0 12 L58 0.083333333
150 6 12 L58 0.052083333
142 21 12 L58 0.052083333
152 0 12 L58 0.093750000
164 2 12 L58 0.000000000
138 0 12 L58 0.052083333
126 0 12 L58 0.052083333
156 0 12 L58 0.062500000
158 1 12 L58 0.052083333
154 6 12 L58 0.062500000
124 0 12 L58 0.000000000
182 0 12 L58 0.000000000
192 0 12 L58 0.020833333
160 0 12 L58 0.010416667
162 0 12 L58 0.010416667
176 0 12 L58 0.010416667
180 0 12 L58 0.000000000
170 0 12 L58 0.000000000
188 0 12 L58 0.000000000
168 0 12 L58 0.041666667
194 0 12 L58 0.000000000
184 0 12 L58 0.000000000
186 0 12 L58 0.000000000
128 6 12 L58 0.010416667
172 0 12 L58 0.010416667
166 2 12 L58 0.010416667
140 3 14 L58 0.000000000
144 25 14 L58 0.010000000
146 19 14 L58 0.300000000
148 4 14 L58 0.350000000
136 1 14 L58 0.030000000
132 8 14 L58 0.010000000
130 0 14 L58 0.010000000
134 0 14 L58 0.050000000
150 7 14 L58 0.170000000
142 10 14 L58 0.020000000
152 0 14 L58 0.000000000
164 5 14 L58 0.000000000
138 0 14 L58 0.000000000
126 0 14 L58 0.010000000
156 1 14 L58 0.010000000
158 1 14 L58 0.010000000
154 1 14 L58 0.000000000
124 0 14 L58 0.000000000
182 0 14 L58 0.000000000
192 0 14 L58 0.000000000
160 0 14 L58 0.000000000
162 0 14 L58 0.010000000
176 0 14 L58 0.000000000
180 0 14 L58 0.000000000
170 0 14 L58 0.000000000
188 0 14 L58 0.000000000
168 0 14 L58 0.000000000
194 0 14 L58 0.000000000
184 0 14 L58 0.000000000
186 0 14 L58 0.000000000
128 6 14 L58 0.000000000
172 0 14 L58 0.000000000
166 5 14 L58 0.010000000
177 39 2 L94 0.125000000
189 16 2 L94 0.750000000
192 80 2 L94 0.083333333
159 7 2 L94 0.000000000
162 6 2 L94 0.020833333
186 1 2 L94 0.000000000
180 1 2 L94 0.020833333
171 0 2 L94 0.000000000
174 0 2 L94 0.000000000
165 0 2 L94 0.000000000
156 0 2 L94 0.000000000
183 0 2 L94 0.000000000
177 67 4 L94 0.710000000
189 9 4 L94 0.020000000
192 7 4 L94 0.020000000
159 1 4 L94 0.000000000
162 21 4 L94 0.250000000
186 0 4 L94 0.000000000
180 12 4 L94 0.000000000
171 28 4 L94 0.000000000
174 1 4 L94 0.000000000
165 1 4 L94 0.000000000
156 2 4 L94 0.000000000
183 1 4 L94 0.000000000
177 58 6 L94 0.645833333
189 4 6 L94 0.031250000
192 4 6 L94 0.031250000
159 0 6 L94 0.000000000
162 16 6 L94 0.281250000
186 0 6 L94 0.000000000
180 2 6 L94 0.000000000
171 5 6 L94 0.010416667
174 2 6 L94 0.000000000
165 0 6 L94 0.000000000
156 3 6 L94 0.000000000
183 2 6 L94 0.000000000
177 31 8 L94 0.260000000
189 60 8 L94 0.106666667
192 2 8 L94 0.533333333
159 0 8 L94 0.046666667
162 3 8 L94 0.040000000
186 0 8 L94 0.006666667
180 2 8 L94 0.006666667
171 2 8 L94 0.000000000
174 0 8 L94 0.000000000
165 0 8 L94 0.000000000
156 0 8 L94 0.000000000
183 0 8 L94 0.000000000
177 6 10 L94 0.446666667
189 36 10 L94 0.060000000
192 4 10 L94 0.046666667
159 0 10 L94 0.006666667
162 1 10 L94 0.140000000
186 0 10 L94 0.000000000
180 1 10 L94 0.080000000
171 0 10 L94 0.186666667
174 0 10 L94 0.006666667
165 0 10 L94 0.006666667
156 0 10 L94 0.013333333
183 0 10 L94 0.006666667
177 71 12 L94 0.604166667
189 2 12 L94 0.041666667
192 2 12 L94 0.041666667
159 0 12 L94 0.000000000
162 25 12 L94 0.166666667
186 0 12 L94 0.000000000
180 0 12 L94 0.020833333
171 0 12 L94 0.052083333
174 0 12 L94 0.020833333
165 0 12 L94 0.000000000
156 0 12 L94 0.031250000
183 0 12 L94 0.020833333
177 62 14 L94 0.310000000
189 3 14 L94 0.600000000
192 3 14 L94 0.020000000
159 0 14 L94 0.000000000
162 27 14 L94 0.030000000
186 0 14 L94 0.000000000
180 0 14 L94 0.020000000
171 1 14 L94 0.020000000
174 0 14 L94 0.000000000
165 0 14 L94 0.000000000
156 0 14 L94 0.000000000
183 0 14 L94 0.000000000
