allele number population locus proportion
187 0 10 B128 0.000000000
181 1 10 B128 0.333333333
173 0 10 B128 0.000000000
175 0 10 B128 0.040000000
191 0 10 B128 0.006666667
167 0 10 B128 0.006666667
189 0 10 B128 0.013333333
169 1 10 B128 0.000000000
193 0 10 B128 0.000000000
171 1 12 B128 0.010416667
163 0 12 B128 0.000000000
185 2 12 B128 0.062500000
183 23 12 B128 0.208333333
177 0 12 B128 0.125000000
179 45 12 B128 0.260416667
187 0 12 B128 0.020833333
181 28 12 B128 0.302083333
173 0 12 B128 0.000000000
175 1 12 B128 0.000000000
191 0 12 B128 0.000000000
167 0 12 B128 0.000000000
189 0 12 B128 0.010416667
169 0 12 B128 0.000000000
193 0 12 B128 0.000000000
171 2 14 B128 0.670000000
163 0 14 B128 0.000000000
185 2 14 B128 0.220000000
183 32 14 B128 0.020000000
177 0 14 B128 0.000000000
179 31 14 B128 0.040000000
187 0 14 B128 0.010000000
181 27 14 B128 0.030000000
173 0 14 B128 0.000000000
175 0 14 B128 0.010000000
191 0 14 B128 0.000000000
167 0 14 B128 0.000000000
189 1 14 B128 0.000000000
169 0 14 B128 0.000000000
193 1 14 B128 0.000000000
260 85 2 D39 0.770833333
284 61 2 D39 0.083333333
256 3 2 D39 0.000000000
280 1 2 D39 0.104166667
266 0 2 D39 0.041666667
276 0 2 D39 0.000000000
252 0 2 D39 0.000000000
270 0 2 D39 0.000000000
278 0 2 D39 0.000000000
260 63 4 D39 0.170000000
284 30 4 D39 0.050000000
256 2 4 D39 0.010000000
280 33 4 D39 0.740000000
266 15 4 D39 0.000000000
276 2 4 D39 0.010000000
252 1 4 D39 0.000000000
270 4 4 D39 0.000000000
278 0 4 D39 0.020000000
260 28 6 D39 0.145833333
284 26 6 D39 0.041666667
256 0 6 D39 0.000000000
280 23 6 D39 0.781250000
266 7 6 D39 0.010416667
276 1 6 D39 0.000000000
252 0 6 D39 0.000000000
270 11 6 D39 0.010416667
278 0 6 D39 0.010416667
260 32 8 D39 0.566666667
284 60 8 D39 0.406666667
256 0 8 D39 0.020000000
280 8 8 D39 0.006666667
266 0 8 D39 0.000000000
276 0 8 D39 0.000000000
252 0 8 D39 0.000000000
270 0 8 D39 0.000000000
278 0 8 D39 0.000000000
260 37 10 D39 0.420000000
284 4 10 D39 0.200000000
256 0 10 D39 0.013333333
280 5 10 D39 0.220000000
266 2 10 D39 0.100000000
276 0 10 D39 0.013333333
252 0 10 D39 0.006666667
270 0 10 D39 0.026666667
278 0 10 D39 0.000000000
260 17 12 D39 0.291666667
284 5 12 D39 0.270833333
256 1 12 D39 0.000000000
280 74 12 D39 0.239583333
266 0 12 D39 0.072916667
276 1 12 D39 0.010416667
252 0 12 D39 0.000000000
270 0 12 D39 0.114583333
278 2 12 D39 0.000000000
260 14 14 D39 0.320000000
284 4 14 D39 0.600000000
256 0 14 D39 0.000000000
280 75 14 D39 0.080000000
266 1 14 D39 0.000000000
276 0 14 D39 0.000000000
252 0 14 D39 0.000000000
270 1 14 D39 0.000000000
278 1 14 D39 0.000000000
132 4 2 E6 0.000000000
152 45 2 E6 0.645833333
186 2 2 E6 0.000000000
174 19 2 E6 0.020833333
162 21 2 E6 0.062500000
126 1 2 E6 0.000000000
156 2 2 E6 0.000000000
180 9 2 E6 0.000000000
182 23 2 E6 0.020833333
192 1 2 E6 0.000000000
198 2 2 E6 0.000000000
118 1 2 E6 0.000000000
188 2 2 E6 0.000000000
200 1 2 E6 0.000000000
178 4 2 E6 0.020833333
190 1 2 E6 0.000000000
154 6 2 E6 0.020833333
184 2 2 E6 0.000000000
150 1 2 E6 0.000000000
166 1 2 E6 0.020833333
168 1 2 E6 0.020833333
158 1 2 E6 0.000000000
164 0 2 E6 0.000000000
146 0 2 E6 0.104166667
172 0 2 E6 0.020833333
202 0 2 E6 0.000000000
176 0 2 E6 0.000000000
160 0 2 E6 0.000000000
144 0 2 E6 0.000000000
148 0 2 E6 0.020833333
170 0 2 E6 0.020833333
196 0 2 E6 0.000000000
210 0 2 E6 0.000000000
140 0 2 E6 0.000000000
130 0 2 E6 0.000000000
132 2 4 E6 0.010000000
152 27 4 E6 0.310000000
186 0 4 E6 0.000000000
174 3 4 E6 0.010000000
162 27 4 E6 0.010000000
126 0 4 E6 0.000000000
156 6 4 E6 0.000000000
180 1 4 E6 0.000000000
182 1 4 E6 0.010000000
192 1 4 E6 0.000000000
198 6 4 E6 0.000000000
118 0 4 E6 0.000000000
188 0 4 E6 0.010000000
200 2 4 E6 0.000000000
178 6 4 E6 0.000000000
190 0 4 E6 0.000000000
154 15 4 E6 0.020000000
184 0 4 E6 0.000000000
150 5 4 E6 0.010000000
166 11 4 E6 0.050000000
168 3 4 E6 0.370000000
158 1 4 E6 0.000000000
164 7 4 E6 0.000000000
146 3 4 E6 0.000000000
172 5 4 E6 0.000000000
202 1 4 E6 0.000000000
176 4 4 E6 0.010000000
160 5 4 E6 0.000000000
144 1 4 E6 0.000000000
148 3 4 E6 0.000000000
170 2 4 E6 0.000000000
196 1 4 E6 0.000000000
210 1 4 E6 0.000000000
140 0 4 E6 0.180000000
130 0 4 E6 0.000000000
132 2 6 E6 0.000000000
152 16 6 E6 0.354166667
186 0 6 E6 0.000000000
174 3 6 E6 0.000000000
162 11 6 E6 0.031250000
126 0 6 E6 0.000000000
156 4 6 E6 0.000000000
180 1 6 E6 0.000000000
182 1 6 E6 0.010416667
192 0 6 E6 0.000000000
198 5 6 E6 0.000000000
118 0 6 E6 0.000000000
188 0 6 E6 0.000000000
200 1 6 E6 0.000000000
178 0 6 E6 0.000000000
190 1 6 E6 0.000000000
154 9 6 E6 0.010416667
184 0 6 E6 0.000000000
150 3 6 E6 0.000000000
166 0 6 E6 0.041666667
168 11 6 E6 0.406250000
158 0 6 E6 0.000000000
164 4 6 E6 0.010416667
146 10 6 E6 0.000000000
172 0 6 E6 0.000000000
202 0 6 E6 0.000000000
176 1 6 E6 0.000000000
160 1 6 E6 0.010416667
144 0 6 E6 0.000000000
148 10 6 E6 0.010416667
170 1 6 E6 0.020833333
196 0 6 E6 0.000000000
210 0 6 E6 0.000000000
140 1 6 E6 0.093750000
130 0 6 E6 0.000000000
132 8 8 E6 0.026666667
152 58 8 E6 0.300000000
186 0 8 E6 0.013333333
174 1 8 E6 0.126666667
162 10 8 E6 0.140000000
126 1 8 E6 0.006666667
156 0 8 E6 0.013333333
180 0 8 E6 0.060000000
182 0 8 E6 0.153333333
192 0 8 E6 0.006666667
198 0 8 E6 0.013333333
118 0 8 E6 0.006666667
188 0 8 E6 0.013333333
200 1 8 E6 0.006666667
178 2 8 E6 0.026666667
190 0 8 E6 0.006666667
154 2 8 E6 0.040000000
184 0 8 E6 0.013333333
150 0 8 E6 0.006666667
166 0 8 E6 0.006666667
168 2 8 E6 0.006666667
158 0 8 E6 0.006666667
164 0 8 E6 0.000000000
146 1 8 E6 0.000000000
172 1 8 E6 0.000000000
202 0 8 E6 0.000000000
176 1 8 E6 0.000000000
160 1 8 E6 0.000000000
